Floor,Kitchen type,Bedrooms,Bathrooms,Toilets,Office,Armored door,Primary energy consumption,Energy class,CO₂ emission,Heating type,Heat pump,Thermic solar panels,Double glazing,Monthly rental price,Monthly costs,Tenement building,price,listing_type,Number of floors,Number of frontages,Living area,Living room surface,Bedroom 1 surface,Bedroom 2 surface,Furnished,Terrace surface,Intercom,Visio phone,agency,Construction year,Building condition,Basement,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Available as of,Kitchen surface,Shower rooms,Surroundings type,Zip_Code,State_Name
1.0,Semi equipped,4.0,1.0,2.0,No,No,,Not specified,,Gas,No,No,Yes,450.0,50.0,No,500.0,Apartment for rent,2.0,3.0,160.0,,,,,1.0,Yes,No,,,Good,Yes,No,No,No,Yes,No,Immediately,,,Fitted out,1190,Forest
,Hyper equipped,3.0,3.0,2.0,Yes,,,Not specified,,Gas,,,,3700.0,,No,,Triplex for rent,3.0,2.0,400.0,30.0,40.0,24.0,No,30.0,Yes,Yes,Lambrecht Consult,1870.0,As new,,No,No,Yes,,No,Depending on the tenant,10.0,2.0,Urban,1190,Forest
2.0,USA hyper equipped,1.0,,1.0,,,254.0,E,,Gas,,,Yes,875.0,,No,,Apartment for rent,2.0,2.0,51.0,,,,No,2.0,,,Century 21 A à Z Immobilier,,As new,Yes,,,,,,,,1.0,,1190,Forest
2.0,,2.0,1.0,,No,No,,Not specified,,,No,No,No,1200.0,,No,,Duplex for rent,,2.0,100.0,,,,,20.0,,,,,,,,,,,,,,,,1190,Forest
,Hyper equipped,4.0,2.0,3.0,Yes,Yes,344.0,F,54.0,Gas,,,Yes,3900.0,400.0,No,4300.0,Apartment for rent,4.0,3.0,250.0,70.0,18.0,16.0,Yes,20.0,Yes,Yes,Lambrecht Consult,1990.0,As new,Yes,Yes,Yes,Yes,Yes,No,To be defined,10.0,1.0,"Living area (residential, urban or rural)",1190,Forest
3.0,Not installed,1.0,1.0,1.0,No,No,,Not specified,,Gas,No,No,No,890.0,125.0,No,1015.0,Apartment for rent,3.0,4.0,70.0,19.0,15.0,,,,,,,,Good,,,,,,,Immediately,7.0,,Landscape,1190,Forest
,Hyper equipped,5.0,4.0,4.0,Yes,,,Not specified,,Gas,,,Yes,5800.0,1.0,No,5801.0,Exceptional property for rent,,2.0,400.0,40.0,20.0,20.0,No,,Yes,,Lambrecht Consult,1900.0,Just renovated,Yes,No,No,Yes,,No,,12.0,2.0,,1190,Forest
1.0,Hyper equipped,1.0,,1.0,No,Yes,,Not specified,,Gas,No,No,Yes,410.0,60.0,No,470.0,Student housing for rent,1.0,1.0,40.0,50.0,15.0,,Yes,,Yes,No,,1920.0,Just renovated,,No,No,No,Yes,No,,50.0,1.0,Shop street,1190,Forest
5.0,Hyper equipped,3.0,2.0,3.0,,Yes,,Not specified,,Gas,,,Yes,2400.0,600.0,No,3000.0,Apartment for rent,,2.0,150.0,,40.0,28.0,Yes,,Yes,,HOME HUNTING,1930.0,As new,,Yes,,,,,,,,,1190,Forest
3.0,Installed,2.0,1.0,1.0,,,,Not specified,,Gas,No,No,No,1150.0,200.0,No,1350.0,Apartment for rent,3.0,2.0,90.0,30.0,16.0,12.0,No,10.0,Yes,Yes,IMMO FADAN,,,,,,,,,,,,,1180,Uccle
