Title,Price,Location,Bedrooms,Bathrooms,Surface
 Maison,99 000 ,Ensival,3,1,112 m²
 Appartement,99 000 ,Roulers,2,1,60 m²
 Appartement,99 000 ,Roulers,2,1,60 m²
 Maison,99 000 ,La Louvière,1,1,78 m²
 Maison,99 000 ,Nessonvaux,2,1,115 m²
 Appartement,99 000 ,Charleroi,2,1,60 m²
 Maison,99 000 ,Anderlues,4,1,120 m²
 Maison,99 000 ,Frameries,3,1,110 m²
 Maison,99 000 ,Mouscron,3,1,98 m²
 Maison,99 000 ,Mouscron,3,1,129 m²
 Appartement,99 000 ,Charleroi,2,1,83 m²
 Maison de rangée,99 000 ,Mouscron,3,1,50 m²
 Maison quatre façades,99 000 ,Nismes,4,2,145 m²
 Maison,99 000 ,Mouscron,1,1,70 m²
 Studio,99 000 ,Liège,1,1,44 m²
 Maison,99 000 ,Pepinster,5,1,146 m²
 Appartement,99 000 ,Tournai,1,1,37 m²
 Maison,99 000 ,Ressaix,2,1,90 m²
 Maison Trois Façades,99 000 ,Montegnée,1,1,113 m²
 Maison,99 000 ,Houdeng-Goegnies,2,1,82 m²
 Maison,99 000 ,Gilly,1,1,60 m²
 Maison,99 000 ,Seraing,2,2,115 m²
 Maison,99 000 ,Frameries,3,2,110 m²
 Maison,99 000 ,Ghlin,1,1,91 m²
 Appartement,99 000 ,Liège,1,1,34 m²
 Maison,99 000 ,Trooz,3,1,100 m²
 Maison,99 000 ,Grivegnée,1,1,65 m²
 Maison,99 000 ,Ougrée,3,1,80 m²
 Maison,99 000 ,Mouscron,5,1,211 m²
 Maison,99 000 ,Pepinster,3,1,110 m²
 Appartement,99 000 ,Dison,2,1,94 m²
 Maison,99 000 ,Fléron,2,1,103 m²
 Maison,99 000 ,Orp-Jauche,5,2,329 m²
 Maison,99 000 ,Verviers,3,3,185 m²
 Maison de rangée,99 000 ,Verviers,6,1,66 m²
 Maison,99 000 ,Carnières,1,1,71 m²
 Appartement,99 500 ,Jemeppe-Sur-Meuse,1,1,80 m²
 Maison,99 500 ,Grâce-Hollogne,3,1,91 m²
 Maison,99 900 ,Mouscron,2,1,99 m²
 Appartement,99 900 ,Comines,2,1,60 m²
 Maison,99 900 ,Aiseau-Presles,2,2,113 m²
 Maison,99 900 ,Gilly,3,1,141 m²
 Maison,99 999 ,Fosses-La-Ville,4,1,258 m²
 Appartement,99 999 ,Fosses-La-Ville,4,1,258 m²
 Appartement,99 999 ,Charleroi,1,1,99 m²
 Maison,99 999 ,Gilly,2,1,110 m²
 Maison,99 999 ,Montignies-Sur-Sambre,2,1,107 m²
 Maison,99 999 ,Marcinelle,3,1,160 m²
 Appartement,100 000 ,Namur,1,1,40 m²
